Course Name,Course ID,URL Before Change,Verified New URL,Verified Start Date,Verified Due Date,Verified Title,Errors
BIO 264 S17 Evaluation Online Reference,236104,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
BIO 265 S17 Evaluation Online Reference,236105,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
ACCTG 180 - R--- - Online Reference,18776,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
ACCTG 201 - R--- - Online Reference,18777,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
ACCTG 202 - R--- - Online Reference,18783,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
ACCTG 205 - R--- - Online Reference,18784,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
AGBUS 105 - R--- - Online Reference,16215,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
AGBUS 138 - R--- - Online Reference,99483,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
AGBUS 147 - R--- - Online Reference,17575,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
AGBUS 180A - R--- - Online Reference,106288,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
AGBUS 180B - R--- - Online Reference,106289,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
ANTH 101 - R--- - Online Reference,50283,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
ARCH 270 - D--- - Online Development,339494,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
ART 107 - R--- - Online Reference,16098,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
ART 110 - R--- - Online Reference,101929,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
ART 110 - D--- - Online Development,167864,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
ART 130 - R--- - Online Reference,73749,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
ART 160 - R--- - Online Reference,18812,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
ART 230 - R--- - Online Reference,17904,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
ART  235 - R--- - Online Reference,17905,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
ART 331R - R--- - Online Reference,18232,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
ART 337R - R--- - Online Reference,18818,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
AUTO 125 - R--- - Online Reference,50284,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
AUTO 131 - R--- - Online Reference,99408,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
AUTO 132 - R--- - Online Reference,63710,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
AUTO 155 - R--- - Online Reference,101643,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
AUTO 201 - R--- - Online Reference,274892,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
AUTO 231 - D--- - Online Development,237899,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
AUTO 232 - D--- - Online Development,264893,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
B 100 - R--- - Online Reference,16156,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
B 101 - R--- - Online Reference,16155,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
B 120 - R--- - Online Reference,68324,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
B 129 - R--- - Online Reference,16150,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
B 183 - R--- - Online Reference,16170,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
B 201 - R--- - Online Reference,16163,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
B 211 - R--- - Online Reference,16177,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
B 215 - R--- - Online Reference,31319,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
B 240 - R--- - Online Reference,16184,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
B 241 - R--- - Online Reference,101156,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
B 250 - R--- - Online Reference,16178,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
B 275 - R--- - Online Reference,21582,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
B 283 - R--- - Online Reference,16185,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
B 301 - R--- - Online Reference,16197,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
B 320 - R--- - Online Reference,106952,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
