Course Name,Course ID,URL Before Change,Verified New URL,Verified Start Date,Verified Due Date,Verified Title,Errors
AUTO 131 - D--B - Online Block Development,152731,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
B 100 - R--B - Online Block Reference,16221,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
B 101 - R--B - Online Block Reference,108133,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
B 183 - R--B - Online Block Reference,62923,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
B 211 - R--B - Online Block Reference,56994,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
B 320 - R--B - Online Block Reference,280338,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
CHILD 210 - R--B - Online Block Reference,112570,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
CIT 110 - R--B - Online Block Reference,108142,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
CIT 160 - R--B - Online Block Reference,167893,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
CIT 230 - R--B - Online Block Reference,56875,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
