code,id,name,,,,,,,,
Online.Reference.AUTO 131,152731,AUTO 131 - D--B - Online Block Development,,,,,,,,
Online.Reference.B    100,16221,B 100 - R--B - Online Block Reference,,,,,,,,
Online.Reference.B    101,108133,B 101 - R--B - Online Block Reference,,,,,,,,
Online.Reference.B    183,62923,B 183 - R--B - Online Block Reference,,,,,,,,
Online.Reference.B    211,56994,B 211 - R--B - Online Block Reference,,,,,,,,
Online.Reference.B    320,280338,B 320 - R--B - Online Block Reference,,,,,,,,
Online.Reference.CHILD210,112570,CHILD 210 - R--B - Online Block Reference,,,,,,,,
Online.Reference.CIT  110,108142,CIT 110 - R--B - Online Block Reference,,,,,,,,
Online.Reference.CIT  160,167893,CIT 160 - R--B - Online Block Reference,,,,,,,,
Online.Reference.CIT  230,56875,CIT 230 - R--B - Online Block Reference,,,,,,,,
Online.Reference.COMM 289,339476,COMM 289 - R--B - Online Block Reference,,,,,,,,
Online.Reference.COMM 497R,24645,COMM 497R - R--B - Online Block Reference,,,,,,,,
Online.Reference.FAML 100,108135,FAML 100 - R--B - Online Block Reference,,,,,,,,
Online.Reference.FAML 110,55186,FAML 110 - R--B - Online Block Reference,,,,,,,,
Online.Reference.FAML 120,334760,FAML 120 - R--B - Online Block Reference,,,,,,,,
Online.Reference.FAML 150,16186,FAML 150 - R--B - Online Block Reference,,,,,,,,
Online.Reference.FAML 160,395253,FAML 160 - R--B - Online Block Reference,,,,,,,,
Online.Reference.FAML 220,108136,FAML 220 - R--B - Online Block Reference,,,,,,,,
Online.Reference.FAML 300,171662,FAML 300 - R--B - Online Block Reference,,,,,,,,
Online.Reference.FCS  110,223408,FCS 110 - R--B - Online Block Reference,,,,,,,,
Online.Reference.FCS  340,118475,FCS 340 - R--B - Online Block Reference,,,,,,,,
Online.Reference.FDAMF101,19337,FDAMF 101 - R--B - Online Block Reference,,,,,,,,
Online.Reference.FDENG301,108137,FDENG 301 - R--B - Online Block Reference,,,,,,,,
Online.Reference.FDHUM110,108599,FDHUM 110 - R--B - Online Block Reference,,,,,,,,
Online.Reference.FDINT211,81187,FDINT 211 - R--B - Online Block Reference,,,,,,,,
Online.Reference.FDMAT108,439710,FDMAT 108 - R--B - Online Block Reference,,,,,,,,
